s04147_ex-situ_EIS-150deg
Fixed value(s) :  AC Volt  [Vrms]=3.5000e-02  
   Freq.[Hz]   	Zs'[ohm]  	Zs''[ohm]
 1.00000e+06	 2.26968e+04	-4.63730e+04
 6.55410e+05	 3.23877e+04	-6.15674e+04
 4.29570e+05	 4.68828e+04	-7.79960e+04
 2.81540e+05	 6.65714e+04	-9.88061e+04
 1.84530e+05	 9.26574e+04	-1.21595e+05
 1.20940e+05	 1.22962e+05	-1.50343e+05
 7.92670e+04	 1.58454e+05	-1.85541e+05
 5.19520e+04	 2.06149e+05	-2.28367e+05
 3.40500e+04	 2.66860e+05	-2.78549e+05
 2.23170e+04	 3.50748e+05	-3.37140e+05
 1.46270e+04	 4.64201e+05	-3.93208e+05
 9.58660e+03	 6.08339e+05	-4.28860e+05
 6.28320e+03	 7.65781e+05	-4.24288e+05
 4.11810e+03	 9.08136e+05	-3.80222e+05
 2.69910e+03	 1.01427e+06	-3.11677e+05
 1.76900e+03	 1.08595e+06	-2.45147e+05
 1.15940e+03	 1.13410e+06	-1.89479e+05
 7.59900e+02	 1.16828e+06	-1.46404e+05
 4.98050e+02	 1.19129e+06	-1.11935e+05
 3.26430e+02	 1.20772e+06	-8.77411e+04
 2.13950e+02	 1.22169e+06	-7.09901e+04
 1.40220e+02	 1.23335e+06	-5.87078e+04
 9.19040e+01	 1.24336e+06	-5.06689e+04
 6.02350e+01	 1.25191e+06	-4.54736e+04
 3.94790e+01	 1.26066e+06	-4.34628e+04
 2.58750e+01	 1.26957e+06	-4.33417e+04
 1.69590e+01	 1.27896e+06	-4.52672e+04
 1.11150e+01	 1.28893e+06	-4.91564e+04
 7.28490e+00	 1.29945e+06	-5.51052e+04
 4.77460e+00	 1.31144e+06	-6.42637e+04
 3.12940e+00	 1.32513e+06	-7.70613e+04
 2.05100e+00	 1.34148e+06	-9.39629e+04
 1.34430e+00	 1.36129e+06	-1.16917e+05
 8.81050e-01	 1.38617e+06	-1.45506e+05
 5.77450e-01	 1.41827e+06	-1.85077e+05
 3.78470e-01	 1.45727e+06	-2.37522e+05
 2.48050e-01	 1.50643e+06	-3.04869e+05
 1.62580e-01	 1.56923e+06	-3.91063e+05
 1.06560e-01	 1.64260e+06	-4.98881e+05
 6.98380e-02	 1.74442e+06	-6.38112e+05
 4.57730e-02	 1.87289e+06	-8.17521e+05
 3.00000e-02	 2.03344e+06	-1.05180e+06
