s04147_ex-situ_EIS-180deg
Fixed value(s) :  AC Volt  [Vrms]=3.5000e-02  
   Freq.[Hz]   	Zs'[ohm]  	Zs''[ohm]
 1.00000e+06	 1.96241e+04	-2.76066e+04
 6.55410e+05	 2.55618e+04	-3.35833e+04
 4.29570e+05	 3.47112e+04	-4.08225e+04
 2.81540e+05	 4.44977e+04	-4.98349e+04
 1.84530e+05	 5.75510e+04	-6.02360e+04
 1.20940e+05	 7.51704e+04	-7.39604e+04
 7.92670e+04	 9.86010e+04	-8.71938e+04
 5.19520e+04	 1.29909e+05	-9.75386e+04
 3.40500e+04	 1.65840e+05	-1.00397e+05
 2.23170e+04	 2.01079e+05	-9.29359e+04
 1.46270e+04	 2.29165e+05	-7.77738e+04
 9.58660e+03	 2.48661e+05	-6.10554e+04
 6.28320e+03	 2.61055e+05	-4.58867e+04
 4.11810e+03	 2.68553e+05	-3.39275e+04
 2.69910e+03	 2.73447e+05	-2.50128e+04
 1.76900e+03	 2.76726e+05	-1.84789e+04
 1.15940e+03	 2.78991e+05	-1.38164e+04
 7.59900e+02	 2.81004e+05	-1.07243e+04
 4.98050e+02	 2.82460e+05	-8.38601e+03
 3.26430e+02	 2.83355e+05	-6.96153e+03
 2.13950e+02	 2.84400e+05	-6.36563e+03
 1.40220e+02	 2.85320e+05	-6.10713e+03
 9.19040e+01	 2.86481e+05	-6.31740e+03
 6.02350e+01	 2.87727e+05	-6.87935e+03
 3.94790e+01	 2.89118e+05	-7.85724e+03
 2.58750e+01	 2.90721e+05	-9.26901e+03
 1.69590e+01	 2.92613e+05	-1.12695e+04
 1.11150e+01	 2.94957e+05	-1.39542e+04
 7.28490e+00	 2.97843e+05	-1.75093e+04
 4.77460e+00	 3.01485e+05	-2.23109e+04
 3.12940e+00	 3.06058e+05	-2.86458e+04
 2.05100e+00	 3.11939e+05	-3.70383e+04
 1.34430e+00	 3.20072e+05	-4.78781e+04
 8.81050e-01	 3.29808e+05	-6.23493e+04
 5.77450e-01	 3.43203e+05	-8.01033e+04
 3.78470e-01	 3.61306e+05	-1.03033e+05
 2.48050e-01	 3.84599e+05	-1.31994e+05
 1.62580e-01	 4.14108e+05	-1.68006e+05
 1.06560e-01	 4.50790e+05	-2.12979e+05
 6.98380e-02	 4.94440e+05	-2.69814e+05
 4.57730e-02	 5.47582e+05	-3.44520e+05
