s04147_ex-situ_EIS-200deg
Fixed value(s) :  AC Volt  [Vrms]=3.5000e-02  
   Freq.[Hz]   	Zs'[ohm]  	Zs''[ohm]
 1.00000e+06	 1.58596e+04	-1.83471e+04
 6.55410e+05	 2.00913e+04	-2.21653e+04
 4.29570e+05	 2.58064e+04	-2.65417e+04
 2.81540e+05	 3.36405e+04	-3.19825e+04
 1.84530e+05	 4.40269e+04	-3.75362e+04
 1.20940e+05	 5.78064e+04	-4.16939e+04
 7.92670e+04	 7.32530e+04	-4.21241e+04
 5.19520e+04	 8.77278e+04	-3.82016e+04
 3.40500e+04	 9.90347e+04	-3.13186e+04
 2.23170e+04	 1.06546e+05	-2.41128e+04
 1.46270e+04	 1.11212e+05	-1.76940e+04
 9.58660e+03	 1.13895e+05	-1.27509e+04
 6.28320e+03	 1.15487e+05	-9.10679e+03
 4.11810e+03	 1.16461e+05	-6.49019e+03
 2.69910e+03	 1.17120e+05	-4.70472e+03
 1.76900e+03	 1.17560e+05	-3.49734e+03
 1.15940e+03	 1.17913e+05	-2.72099e+03
 7.59900e+02	 1.18054e+05	-2.11057e+03
 4.98050e+02	 1.18426e+05	-1.90523e+03
 3.26430e+02	 1.18823e+05	-1.90149e+03
 2.13950e+02	 1.19219e+05	-1.96830e+03
 1.40220e+02	 1.19558e+05	-2.15466e+03
 9.19040e+01	 1.19958e+05	-2.49936e+03
 6.02350e+01	 1.20440e+05	-2.97426e+03
 3.94790e+01	 1.21015e+05	-3.69761e+03
 2.58750e+01	 1.21820e+05	-4.65954e+03
 1.69590e+01	 1.22795e+05	-5.93569e+03
 1.11150e+01	 1.24013e+05	-7.61242e+03
 7.28490e+00	 1.25558e+05	-9.80853e+03
 4.77460e+00	 1.27602e+05	-1.26969e+04
 3.12940e+00	 1.30287e+05	-1.64794e+04
 2.05100e+00	 1.33887e+05	-2.13487e+04
 1.34430e+00	 1.38617e+05	-2.75269e+04
 8.81050e-01	 1.45163e+05	-3.52112e+04
 5.77450e-01	 1.53583e+05	-4.49041e+04
 3.78470e-01	 1.64063e+05	-5.65385e+04
 2.48050e-01	 1.77090e+05	-7.04331e+04
 1.62580e-01	 1.92906e+05	-8.75269e+04
 1.06560e-01	 2.12001e+05	-1.09298e+05
 6.98380e-02	 2.35592e+05	-1.37609e+05
