s04147_ex-situ_EIS-190deg
Fixed value(s) :  AC Volt  [Vrms]=3.5000e-02  
   Freq.[Hz]   	Zs'[ohm]  	Zs''[ohm]
 1.00000e+06	 1.76938e+04	-2.26127e+04
 6.55410e+05	 2.28135e+04	-2.67377e+04
 4.29570e+05	 2.96962e+04	-3.25770e+04
 2.81540e+05	 3.86437e+04	-3.99571e+04
 1.84530e+05	 4.98168e+04	-4.79435e+04
 1.20940e+05	 6.57670e+04	-5.67807e+04
 7.92670e+04	 8.58284e+04	-6.30431e+04
 5.19520e+04	 1.09109e+05	-6.39332e+04
 3.40500e+04	 1.31735e+05	-5.83953e+04
 2.23170e+04	 1.48977e+05	-4.84641e+04
 1.46270e+04	 1.60730e+05	-3.76060e+04
 9.58660e+03	 1.68082e+05	-2.79999e+04
 6.28320e+03	 1.72568e+05	-2.04990e+04
 4.11810e+03	 1.75362e+05	-1.49698e+04
 2.69910e+03	 1.77189e+05	-1.09212e+04
 1.76900e+03	 1.78463e+05	-8.05877e+03
 1.15940e+03	 1.79378e+05	-6.12665e+03
 7.59900e+02	 1.80039e+05	-4.78269e+03
 4.98050e+02	 1.80797e+05	-4.08020e+03
 3.26430e+02	 1.81387e+05	-3.62450e+03
 2.13950e+02	 1.82009e+05	-3.51737e+03
 1.40220e+02	 1.82458e+05	-3.62451e+03
 9.19040e+01	 1.83098e+05	-3.98662e+03
 6.02350e+01	 1.83881e+05	-4.59195e+03
 3.94790e+01	 1.84787e+05	-5.46524e+03
 2.58750e+01	 1.85907e+05	-6.66374e+03
 1.69590e+01	 1.87282e+05	-8.30464e+03
 1.11150e+01	 1.89009e+05	-1.04824e+04
 7.28490e+00	 1.91164e+05	-1.33248e+04
 4.77460e+00	 1.93934e+05	-1.71445e+04
 3.12940e+00	 1.97472e+05	-2.22271e+04
 2.05100e+00	 2.02106e+05	-2.88162e+04
 1.34430e+00	 2.08163e+05	-3.72454e+04
 8.81050e-01	 2.16633e+05	-4.82612e+04
 5.77450e-01	 2.27308e+05	-6.23661e+04
 3.78470e-01	 2.41189e+05	-7.94732e+04
 2.48050e-01	 2.59130e+05	-1.00330e+05
 1.62580e-01	 2.81696e+05	-1.26034e+05
 1.06560e-01	 3.09100e+05	-1.58435e+05
 6.98380e-02	 3.41864e+05	-2.00508e+05
 4.57730e-02	 3.81677e+05	-2.56512e+05
