# Single Chi-Square Fitted Data
# Temperature: 140°C
# Frequency Range: 3.00e-02 - 1.00e+06 Hz
# Freq.[Hz]	 Zs'[ohm] 	 Zs''[ohm]
1.000000e+06	2.257241e+04	-5.269146e+04
6.554100e+05	3.364043e+04	-7.131454e+04
4.295700e+05	5.003950e+04	-9.471415e+04
2.815400e+05	7.330159e+04	-1.227553e+05
1.845300e+05	1.041661e+05	-1.550502e+05
1.209400e+05	1.423894e+05	-1.922276e+05
7.926700e+04	1.881036e+05	-2.371130e+05
5.195200e+04	2.441338e+05	-2.941347e+05
3.405000e+04	3.171360e+05	-3.668407e+05
2.231700e+04	4.170199e+05	-4.549982e+05
1.462700e+04	5.547054e+05	-5.517488e+05
9.586600e+03	7.374234e+05	-6.416565e+05
6.283200e+03	9.615637e+05	-7.027018e+05
4.118100e+03	1.207921e+06	-7.153371e+05
2.699100e+03	1.446698e+06	-6.744122e+05
1.769000e+03	1.651600e+06	-5.927089e+05
1.159400e+03	1.810556e+06	-4.921362e+05
7.599000e+02	1.925403e+06	-3.920971e+05
4.980500e+02	2.005060e+06	-3.040584e+05
3.264300e+02	2.059466e+06	-2.323188e+05
2.139500e+02	2.096819e+06	-1.768209e+05
1.402200e+02	2.123060e+06	-1.355679e+05
9.190400e+01	2.142238e+06	-1.060870e+05
6.023500e+01	2.157090e+06	-8.607489e+04
3.947900e+01	2.169493e+06	-7.367984e+04
2.587500e+01	2.180798e+06	-6.754052e+04
1.695900e+01	2.192049e+06	-6.675915e+04
1.111500e+01	2.204139e+06	-7.085101e+04
7.284900e+00	2.217905e+06	-7.970041e+04
4.774600e+00	2.234216e+06	-9.353375e+04
3.129400e+00	2.254037e+06	-1.129107e+05
2.051000e+00	2.278501e+06	-1.387449e+05
1.344300e+00	2.308962e+06	-1.723244e+05
8.810500e-01	2.347102e+06	-2.153994e+05
5.774500e-01	2.394995e+06	-2.702357e+05
3.784700e-01	2.455242e+06	-3.397559e+05
2.480500e-01	2.531108e+06	-4.276910e+05
1.625800e-01	2.626683e+06	-5.387515e+05
1.065600e-01	2.747138e+06	-6.789263e+05
6.983800e-02	2.899006e+06	-8.558020e+05
4.577300e-02	3.090446e+06	-1.078873e+06
3.000000e-02	3.331819e+06	-1.360202e+06
