# Single Chi-Square Fitted Data
# Temperature: 190°C
# Frequency Range: 4.58e-02 - 1.00e+06 Hz
# Freq.[Hz]	 Zs'[ohm] 	 Zs''[ohm]
1.000000e+06	1.769917e+04	-2.247426e+04
6.554100e+05	2.338928e+04	-2.688278e+04
4.295700e+05	2.993929e+04	-3.238715e+04
2.815400e+05	3.817389e+04	-3.956586e+04
1.845300e+05	4.953355e+04	-4.829865e+04
1.209400e+05	6.548412e+04	-5.715361e+04
7.926700e+04	8.625266e+04	-6.329693e+04
5.195200e+04	1.096095e+05	-6.384510e+04
3.405000e+04	1.315173e+05	-5.817233e+04
2.231700e+04	1.487914e+05	-4.847796e+04
1.462700e+04	1.607070e+05	-3.782263e+04
9.586600e+03	1.682706e+05	-2.827560e+04
6.283200e+03	1.728910e+05	-2.062409e+04
4.118100e+03	1.757013e+05	-1.487084e+04
2.699100e+03	1.774465e+05	-1.071213e+04
1.769000e+03	1.785765e+05	-7.791240e+03
1.159400e+03	1.793554e+05	-5.798199e+03
7.599000e+02	1.799403e+05	-4.493180e+03
4.980500e+02	1.804284e+05	-3.702394e+03
3.264300e+02	1.808845e+05	-3.307070e+03
2.139500e+02	1.813569e+05	-3.231451e+03
1.402200e+02	1.818862e+05	-3.433616e+03
9.190400e+01	1.825116e+05	-3.898856e+03
6.023500e+01	1.832749e+05	-4.635914e+03
3.947900e+01	1.842243e+05	-5.674992e+03
2.587500e+01	1.854178e+05	-7.068031e+03
1.695900e+01	1.869269e+05	-8.890396e+03
1.111500e+01	1.888413e+05	-1.124485e+04
7.284900e+00	1.912741e+05	-1.426639e+04
4.774600e+00	1.943685e+05	-1.813032e+04
3.129400e+00	1.983063e+05	-2.306170e+04
2.051000e+00	2.033196e+05	-2.934992e+04
1.344300e+00	2.097015e+05	-3.736173e+04
8.810500e-01	2.178287e+05	-4.756934e+04
5.774500e-01	2.281771e+05	-6.056997e+04
3.784700e-01	2.413543e+05	-7.712676e+04
2.480500e-01	2.581350e+05	-9.821294e+04
1.625800e-01	2.795013e+05	-1.250623e+05
1.065600e-01	3.067092e+05	-1.592531e+05
6.983800e-02	3.413619e+05	-2.028000e+05
4.577300e-02	3.854850e+05	-2.582483e+05
