# Single Chi-Square Fitted Data
# Temperature: 200°C
# Frequency Range: 6.98e-02 - 1.00e+06 Hz

Freq.[Hz]	 Zs'[ohm] 	 Zs''[ohm]
1.000000e+06	1.597256e+04	-1.825554e+04
6.554100e+05	2.049155e+04	-2.174512e+04
4.295700e+05	2.597600e+04	-2.631027e+04
2.815400e+05	3.342065e+04	-3.200638e+04
1.845300e+05	4.394960e+04	-3.792442e+04
1.209400e+05	5.785668e+04	-4.203816e+04
7.926700e+04	7.355842e+04	-4.219749e+04
5.195200e+04	8.808849e+04	-3.798614e+04
3.405000e+04	9.921177e+04	-3.112605e+04
2.231700e+04	1.065952e+05	-2.384804e+04
1.462700e+04	1.110961e+05	-1.752580e+04
9.586600e+03	1.137430e+05	-1.258946e+04
6.283200e+03	1.153007e+05	-8.958423e+03
4.118100e+03	1.162437e+05	-6.382061e+03
2.699100e+03	1.168455e+05	-4.602240e+03
1.769000e+03	1.172604e+05	-3.406427e+03
1.159400e+03	1.175772e+05	-2.636042e+03
7.599000e+02	1.178497e+05	-2.178961e+03
4.980500e+02	1.181134e+05	-1.959505e+03
3.264300e+02	1.183947e+05	-1.929914e+03
2.139500e+02	1.187162e+05	-2.063596e+03
1.402200e+02	1.191002e+05	-2.350663e+03
9.190400e+01	1.195705e+05	-2.794950e+03
6.023500e+01	1.201551e+05	-3.412891e+03
3.947900e+01	1.208876e+05	-4.233044e+03
2.587500e+01	1.218096e+05	-5.297042e+03
1.695900e+01	1.229726e+05	-6.661206e+03
1.111500e+01	1.244417e+05	-8.399578e+03
7.284900e+00	1.262987e+05	-1.060730e+04
4.774600e+00	1.286469e+05	-1.340616e+04
3.129400e+00	1.316167e+05	-1.695079e+04
2.051000e+00	1.353735e+05	-2.143831e+04
1.344300e+00	1.401253e+05	-2.711649e+04
8.810500e-01	1.461372e+05	-3.430218e+04
5.774500e-01	1.537424e+05	-4.339318e+04
3.784700e-01	1.633632e+05	-5.489445e+04
2.480500e-01	1.755349e+05	-6.944574e+04
1.625800e-01	1.909313e+05	-8.785253e+04
1.065600e-01	2.104088e+05	-1.111386e+05
6.983800e-02	2.350535e+05	-1.406023e+05
