# Single Chi-Square Fitted Data
# Temperature: 150°C
# Frequency Range: 3.00e-02 - 1.00e+06 Hz

Freq.[Hz]	 Zs'[ohm] 	 Zs''[ohm]
1.000000e+06	2.171142e+04	-4.606044e+04
6.554100e+05	3.252174e+04	-6.102892e+04
4.295700e+05	4.780298e+04	-7.874044e+04
2.815400e+05	6.789599e+04	-9.885872e+04
1.845300e+05	9.247065e+04	-1.218058e+05
1.209400e+05	1.215869e+05	-1.495221e+05
7.926700e+04	1.571977e+05	-1.848636e+05
5.195200e+04	2.038308e+05	-2.298752e+05
3.405000e+04	2.679969e+05	-2.837656e+05
2.231700e+04	3.563867e+05	-3.410447e+05
1.462700e+04	4.722531e+05	-3.906441e+05
9.586600e+03	6.106754e+05	-4.184322e+05
6.283200e+03	7.568635e+05	-4.143110e+05
4.118100e+03	8.919137e+05	-3.791042e+05
2.699100e+03	1.002279e+06	-3.238431e+05
1.769000e+03	1.084283e+06	-2.623348e+05
1.159400e+03	1.141526e+06	-2.047831e+05
7.599000e+02	1.180218e+06	-1.561884e+05
4.980500e+02	1.206167e+06	-1.177200e+05
3.264300e+02	1.223762e+06	-8.858351e+04
2.139500e+02	1.236019e+06	-6.727986e+04
1.402200e+02	1.244938e+06	-5.226211e+04
9.190400e+01	1.251839e+06	-4.221625e+04
6.023500e+01	1.257624e+06	-3.612447e+04
3.947900e+01	1.262943e+06	-3.326952e+04
2.587500e+01	1.268304e+06	-3.319828e+04
1.695900e+01	1.274150e+06	-3.568885e+04
1.111500e+01	1.280907e+06	-4.072579e+04
7.284900e+00	1.289031e+06	-4.848614e+04
4.774600e+00	1.299039e+06	-5.934063e+04
3.129400e+00	1.311547e+06	-7.386573e+04
2.051000e+00	1.327314e+06	-9.287619e+04
1.344300e+00	1.347279e+06	-1.174568e+05
8.810500e-01	1.372639e+06	-1.490432e+05
5.774500e-01	1.404892e+06	-1.894792e+05
3.784700e-01	1.445950e+06	-2.411423e+05
2.480500e-01	1.498245e+06	-3.070807e+05
1.625800e-01	1.564859e+06	-3.911718e+05
1.065600e-01	1.649737e+06	-4.983863e+05
6.983800e-02	1.757912e+06	-6.350799e+05
4.577300e-02	1.895750e+06	-8.092923e+05
3.000000e-02	2.071413e+06	-1.031337e+06
