# Single Chi-Square Fitted Data
# Temperature: 180°C
# Frequency Range: 4.58e-02 - 1.00e+06 Hz
# Freq.[Hz]	 Zs'[ohm] 	 Zs''[ohm]
1.000000e+06	1.914101e+04	-2.767634e+04
6.554100e+05	2.638210e+04	-3.365536e+04
4.295700e+05	3.472384e+04	-4.056317e+04
2.815400e+05	4.453981e+04	-4.931317e+04
1.845300e+05	5.714550e+04	-6.062624e+04
1.209400e+05	7.463138e+04	-7.418633e+04
7.926700e+04	9.901049e+04	-8.785839e+04
5.195200e+04	1.305789e+05	-9.763537e+04
3.405000e+04	1.662791e+05	-9.938346e+04
2.231700e+04	2.004480e+05	-9.190750e+04
1.462700e+04	2.282491e+05	-7.797369e+04
9.586600e+03	2.481318e+05	-6.193635e+04
6.283200e+03	2.612052e+05	-4.706347e+04
4.118100e+03	2.694467e+05	-3.481468e+04
2.699100e+03	2.745914e+05	-2.540243e+04
1.769000e+03	2.778488e+05	-1.847435e+04
1.159400e+03	2.799807e+05	-1.353082e+04
7.599000e+02	2.814498e+05	-1.010564e+04
4.980500e+02	2.825385e+05	-7.823229e+03
3.264300e+02	2.834240e+05	-6.405372e+03
2.139500e+02	2.842253e+05	-5.657693e+03
1.402200e+02	2.850299e+05	-5.454100e+03
9.190400e+01	2.859104e+05	-5.723478e+03
6.023500e+01	2.869350e+05	-6.439815e+03
3.947900e+01	2.881754e+05	-7.616234e+03
2.587500e+01	2.897128e+05	-9.302460e+03
1.695900e+01	2.916441e+05	-1.158511e+04
1.111500e+01	2.940890e+05	-1.459157e+04
7.284900e+00	2.971966e+05	-1.849557e+04
4.774600e+00	3.011560e+05	-2.352750e+04
3.129400e+00	3.062065e+05	-2.998684e+04
2.051000e+00	3.126544e+05	-3.826190e+04
1.344300e+00	3.208874e+05	-4.884783e+04
8.810500e-01	3.314048e+05	-6.238509e+04
5.774500e-01	3.448397e+05	-7.968719e+04
3.784700e-01	3.620028e+05	-1.017974e+05
2.480500e-01	3.839309e+05	-1.300510e+05
1.625800e-01	4.119428e+05	-1.661468e+05
1.065600e-01	4.477304e+05	-2.122645e+05
6.983800e-02	4.934606e+05	-2.711964e+05
4.577300e-02	5.518802e+05	-3.464822e+05
